Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE
CERTIII,South Metropolitan TAFE,Naval Base,MEM30305 Certificate III in Engineering - Fabrication Trade (Heavy/Welding YH),Defence,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-engineering-fabrication-trade-heavywelding-yh,English,A,"When you complete the Certificate III in Engineering - Fabrication Trade (Heavy/Welding YH) you'll be looking at a trades career as a boilermaker, welder, or fabricator in industries such as defence, mining, engineering or construction. Develop practical knowledge and gain hands-on skills in fabrication and welding, using industry standard technologies and techniques. ","Boilermaker | Heavy Fabricator, Welder | Heavy Welder",Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
CERTIII,South Metropolitan TAFE,Thornlie,MEM30305 Certificate III in Engineering - Fabrication Trade (Light Yc),Defence,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-engineering-fabrication-trade-light-yc,English,A,When you complete the Certificate III in Engineering - Fabrication Trade (Light YC) you'll be looking at a trades career as a sheet metal worker or light metal fabricator in industries such as mining or construction.,"Sheet Metal Worker , Light Metal Fabricator",Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
CERTIII,South Metropolitan TAFE,Naval Base,MEM30305 Certificate III in Engineering - Fabrication Trade (Marine),Defence,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-engineering-fabrication-trade-marine,English,A,"Marine fabricators use aluminium, stainless steel, fabricated metal, composite materials and other products to build boats and other marine vessels. They cut, shape, join and repair the metal components that make up the hulls, frames and other structures of boats. These structures may include fuel tanks, boarding ladders and platforms, rails, canopy bows and a range of smaller or specialty customised fittings.",,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
CERTIII,South Metropolitan TAFE,Rockingham,MEM30205 Certificate III in Engineering - Mechanical Trade (First Class Machinist),Defence,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-engineering-mechanical-trade-first-class-machinist,English,A,"This course will cover theoretical and practical aspects of machining of engineering components. Learn to machine, modify and gain skills in the maintenance of plant and equipment, machinery and power stations. Our lecturers will help you develop the ability to work effectively and safely using specialist tools and equipment.",First class machinist,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
CERTIII,South Metropolitan TAFE,Rockingham,MEM30205 Certificate III in Engineering - Mechanical Trade (Fitter and Machinist ZB),Defence,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-engineering-mechanical-trade-fitter-and-machinist-zb,English,A,"When you complete the Certificate III in Engineering (Mechanical Fitter and Machinist ZB) you'll be looking at a trades career as a machinist metal, mechanical fitter, metal plater or plant mechanic in industries such as mining, automotive, or hydraulics.",,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
CERTIII,South Metropolitan TAFE,Rockingham,MEM30205 Certificate III in Engineering - Mechanical Trade (Marine Fitter),Defence,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-engineering-mechanical-trade-marine-fitter,English,A,"Marine fitters assemble and maintain the structural and mechanical parts of boats, ships and even submarines.  They may be based on board, but most are port based.",,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
CERTIII,South Metropolitan TAFE,Rockingham,MEM30205 Certificate III in Engineering - Mechanical Trade (Mechanical Fitter ZA),Engineering and Mining,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-engineering-mechanical-trade-mechanical-fitter-za,English,A,"When you complete the Certificate III in Engineering (Mechanical Fitter ZA) you'll be looking at a trades career as a machinist metal, mechanical fitter, metal plater or plant mechanic in industries such as defence, mining, engineering, automotive or hydraulics.",,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
,South Metropolitan TAFE,,Welding Introduction,Engineering and Mining,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/welding-introduction,English,A,The Welding Introduction course is for candidates who have never welded before and provides an opportunity for candidates to try a range of welding processes over a five week course.,,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,,CHCSS00067 Administer and Monitor Medication Skill Set,Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/administer-and-monitor-medication-skill-set,English,A,Do you work in a caring or support role in the community services industry?  This skill set will develop your skills so you can support people to self-administer medication.   ,,Australia,Yes,Yes,,Yes,Yes,,Normal,No
CERTI,South Metropolitan TAFE,Mandurah,CHC43015 Certificate IV in Ageing Support,Education and Community Services,,,AUD,Year,1,Semester,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iv-ageing-support,English,A,"You will learn the practical skills and knowledge to plan, develop, implement and monitor programs and services for seniors. This course will teach you the skills to assess the needs of older people with complex circumstances and plan and conduct group and recreation programs for seniors. You will also learn how to monitor services, implement and monitor health and safety policies and procedures and organise an effective work environment. You you will undertake a supervised work placement where you will be able to apply the skills and knowledge you have learned.","Aged care worker , Personal Care Worker, Liaison Officer",Australia,Yes,Yes,,Yes,Yes,"C Grades in Year 11 WACE General English, and OLNA; or NAPLAN 9 Band 8 or C Grades in Year 11 English and Maths or equivalent or Certificate II or Certificate III",Normal,No
,South Metropolitan TAFE,,CHCSS00070 Assist Clients with Medication Skill Set,Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/assist-clients-medication-skill-set,English,A,"Advance your skills in the community services or health industry by gaining the skills to offer assistance to clients requiring medication.  This skill set will improve your confidence and ability in a range of community, residential and heath-care settings. ",,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,Mandurah,COVID-19 Direct Care Skill Set (Fee Free),Education and Community Services,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/covid-19-direct-care-skill-set-fee-free,English,A,Take advantage of skills shortages for new workers and for upskilling current workers in providing support for seniors and people with disabilities in an era of COVID-19.,,Australia,Yes,Yes,,Yes,Yes,,Normal,No
