Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
MST,Victoria University,City Flinders,Master of Business Analytics (Professional),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMBI,English,A,"Become an industry leader in enterprise resource management planning (ERP) systems and SAP with VU's Master of Business Analytics (Professional). VU's business masters programs are world-class, and highly valued in the industry. We have strong industry connections, offering real-world experience and networking opportunities. During your study, you’ll develop practical, up-to-date knowledge of SAP software. We offer hands-on experience and online access to a comprehensive suite of SAP Business Intelligence/Business Analytics (BI/BA) software applications and technology.","information technology, information systems and computer science graduates looking to gain a foothold in corporate ERP / SAP organisations/ technology analysts looking to move into a career in business analytics/ business analysts looking to move to an SAP based organisation/ SAP professionals looking to expand their career opportunities.",Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business [By Research],,"17,200",,AUD,Year,2,Years,,,,,,,https://www.vu.edu.au/courses/international/BRAM,English,A,,Upon graduation you'll be able to progress to a PhD or Professional Doctorate or be employed as a research assistant or research technician.,Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,City FlindersVU Sydney,Graduate Diploma in Business (Enterprise Resource Planning Systems),Victoria University Business School,"15,300",,AUD,Year,1,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BGEP,English,A,"Build on your professional experience in business systems and SAP, with VU's Graduate Diploma in Business (Enterprise Resource Planning Systems). In our postgraduate business diploma, you'll learn to implement and maintain enterprise resource planning (ERP) systems using SAP technology. If you are interested in a career using SAP software, VU is the place to study for it. We have the most comprehensive postgraduate program in Australia, strong industry connections, and 24-hour online access to SAP.",SAP-related fields/ analytics/ IT project management/ business analysis.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City FlindersVU Sydney,Master of Business (Enterprise Resource Planning Systems),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMES,English,A,,AGL/ BHP/ British Petroleum (UK)/ Cadbury Schweppes/ Carter Holt Harvey/ China Air Express/ Ernest & Young/ Exxon Mobil Ltd/ IBM/ Linfox/ Siemens/ Unisys.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business (Enterprise Resource Planning Systems)/ Master of Supply Chain Management,Victoria University Business School,"14,850",,AUD,Year,2.5,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMDB,English,A,"Get a competitive edge in ERP or supply chain management with Victoria University’s double masters degree in Business (Enterprise Resource Planning Systems) and Supply Chain Management. You will increase your knowledge of supply chain management, enterprise resource planning (ERP) system processes, SAP application, recent developments in sustainability and global trends in business. We also focus on developing skills in critical thinking, problem solving and creativity.  ",senior and leadership roles in ICT/ ERP analyst/ business software manager/ business analyst/ SAP business consultant.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business (Enterprise Resource Planning Systems)/Master of Business Analytics,Victoria University Business School,"14,850",,AUD,Year,2.5,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMDA,English,A,"Become an industry leader in enterprise resource management planning (ERP) systems and SAP with our double masters degree. The Master of Business (Enterprise Resource Planning Systems)/Master of Business Analytics will help you increase your knowledge of: You’ll develop skills in critical thinking, problem solving, business analytics, creativity and personal leadership.","senior and leadership roles in ICT/ ERP analyst/ business analyst/ business intelligence/ information prediction/ financial, logistics, human resources and supply chain analysis.",Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,City Flinders,Graduate Diploma in Business (Industrial Relations and Human Resource Management),Victoria University Business School,"15,300",,AUD,Year,1,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BGIH,English,A,,human resource executive/ employee relations manager/ industrial relations manager/ union official or representative.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business (Industrial Relations/Human Resource Management),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMIR,English,A,"Aim for a management role in human resources or industrial relations, for a dynamic, in-demand career. In this specialised Master of Business, you’ll explore contemporary industrial relations and human resource (IR/HR) management. You’ll develop business expertise and learn to resolve IR conflicts. These skills are in high demand in Australia, making this masters an excellent step towards a successful career.",human resource manager/ employee development planner/ employee relations manager/ recruitment consultant/ industrial relations officer/ union official or representative.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business (Management),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMMA,English,A,"Launch your career in management with the popular Master of Business (Management). Gain specialist business knowledge and skills for leadership positions in various fields. This masters course will help you take a confident step towards a senior role in business or the public sector. You’ll develop your strategic thinking, leadership, research and negotiation skills. Your study outcomes will be supported by our strong industry connections and a practical focus on case studies and work-related activities.",business manager/ corporate general manager/ human resource manager/ learning and development coordinator/ operations manager/ project manager.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Business (Management),Victoria University Business School,"14,850",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/BMMA,English,A,"Launch your career in management with the popular Master of Business (Management). Gain specialist business knowledge and skills for leadership positions in various fields. This masters course will help you take a confident step towards a senior role in business or the public sector. You’ll develop your strategic thinking, leadership, research and negotiation skills. Your study outcomes will be supported by our strong industry connections and a practical focus on case studies and work-related activities.",business manager/ corporate general manager/ human resource manager/ learning and development coordinator/ operations manager/ project manager.,Australia,Yes,Yes,,Yes,Yes,
